Y	,	X1	,	X2	,	X3	,	X4	,	X5	,	X6	,	X7	,	X8	,	X9	,	X10	,	X11	,	X12	,	X13	,	X14	,	X15	,	X16	,	X17	,	X18	,	X19	,	X20
250.4379878	,	2	,	2552.057	,	1361.317781	,	350.8379	,	9.91853	,	0.518115	,	100.328	,	3.0387	,	31.7877	,	33.8877	,	-0.0256955	,	-2.26362	,	61.9475	,	41.3895	,	3.97343	,	655.773	,	733.468	,	0.153076	,	134.944	,	Edge
213.0186444	,	7	,	2497.8867	,	1379.740184	,	341.5469	,	9.83627	,	0.557529	,	104.627	,	3.2607	,	31.127	,	33.227	,	-0.0212361	,	-2.25707	,	61.8117	,	44.8114	,	3.7888	,	678.776	,	745.745	,	0.166155	,	135.856	,	Center
212.3812965	,	7	,	2497.8867	,	1379.740184	,	341.5469	,	9.83627	,	0.557529	,	104.627	,	3.2607	,	31.127	,	33.227	,	-0.0212361	,	-2.25707	,	61.8117	,	44.8114	,	3.7888	,	678.776	,	745.745	,	0.166155	,	135.856	,	Center
203.393383	,	7	,	2497.8867	,	1379.740184	,	341.5469	,	9.83627	,	0.557529	,	104.627	,	3.2607	,	31.127	,	33.227	,	-0.0212361	,	-2.25707	,	61.8117	,	44.8114	,	3.7888	,	678.776	,	745.745	,	0.166155	,	135.856	,	Center
205.6807974	,	7	,	2497.8867	,	1379.740184	,	341.5469	,	9.83627	,	0.557529	,	104.627	,	3.2607	,	31.127	,	33.227	,	-0.0212361	,	-2.25707	,	61.8117	,	44.8114	,	3.7888	,	678.776	,	745.745	,	0.166155	,	135.856	,	Center
201.0658896	,	7	,	2497.8867	,	1379.740184	,	341.5469	,	9.83627	,	0.557529	,	104.627	,	3.2607	,	31.127	,	33.227	,	-0.0212361	,	-2.25707	,	61.8117	,	44.8114	,	3.7888	,	678.776	,	745.745	,	0.166155	,	135.856	,	Center
209.7946933	,	3	,	2456.0513	,	1380.071259	,	350.573	,	9.9328	,	0.584732	,	109.698	,	3.2467	,	31.9891	,	34.0891	,	-0.0208914	,	-2.2594	,	59.0027	,	38.891	,	3.86814	,	668.229	,	769.433	,	0.201909	,	134.559	,	Inner Center
217.1132958	,	8	,	2513.1536	,	1368.206386	,	343.5314	,	9.65053	,	0.549394	,	101.296	,	3.16	,	31.3343	,	33.4343	,	-0.0225042	,	-2.23201	,	62.4164	,	39.1654	,	3.94321	,	668.088	,	733.622	,	0.165728	,	133.333	,	Center
211.1997538	,	8	,	2513.1536	,	1368.206386	,	343.5314	,	9.65053	,	0.549394	,	101.296	,	3.16	,	31.3343	,	33.4343	,	-0.0225042	,	-2.23201	,	62.4164	,	39.1654	,	3.94321	,	668.088	,	733.622	,	0.165728	,	133.333	,	Center
221.9735568	,	8	,	2513.1536	,	1368.206386	,	343.5314	,	9.65053	,	0.549394	,	101.296	,	3.16	,	31.3343	,	33.4343	,	-0.0225042	,	-2.23201	,	62.4164	,	39.1654	,	3.94321	,	668.088	,	733.622	,	0.165728	,	133.333	,	Center
215.3837849	,	8	,	2513.1536	,	1368.206386	,	343.5314	,	9.65053	,	0.549394	,	101.296	,	3.16	,	31.3343	,	33.4343	,	-0.0225042	,	-2.23201	,	62.4164	,	39.1654	,	3.94321	,	668.088	,	733.622	,	0.165728	,	133.333	,	Center
226.0819878	,	8	,	2513.1536	,	1368.206386	,	343.5314	,	9.65053	,	0.549394	,	101.296	,	3.16	,	31.3343	,	33.4343	,	-0.0225042	,	-2.23201	,	62.4164	,	39.1654	,	3.94321	,	668.088	,	733.622	,	0.165728	,	133.333	,	Center
239.8574951	,	12	,	2568.3392	,	1339.376994	,	344.5835	,	10.0522	,	0.523204	,	99.8057	,	3.1722	,	31.6401	,	33.7401	,	-0.024543	,	-2.19937	,	66.6334	,	42.3203	,	3.90007	,	653.307	,	719.091	,	0.235132	,	136.728	,	Middle
240.228639	,	12	,	2568.3392	,	1339.376994	,	344.5835	,	10.0522	,	0.523204	,	99.8057	,	3.1722	,	31.6401	,	33.7401	,	-0.024543	,	-2.19937	,	66.6334	,	42.3203	,	3.90007	,	653.307	,	719.091	,	0.235132	,	136.728	,	Middle
245.0673293	,	12	,	2568.3392	,	1339.376994	,	344.5835	,	10.0522	,	0.523204	,	99.8057	,	3.1722	,	31.6401	,	33.7401	,	-0.024543	,	-2.19937	,	66.6334	,	42.3203	,	3.90007	,	653.307	,	719.091	,	0.235132	,	136.728	,	Middle
242.6370832	,	12	,	2568.3392	,	1339.376994	,	344.5835	,	10.0522	,	0.523204	,	99.8057	,	3.1722	,	31.6401	,	33.7401	,	-0.024543	,	-2.19937	,	66.6334	,	42.3203	,	3.90007	,	653.307	,	719.091	,	0.235132	,	136.728	,	Middle
246.242894	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
237.6880502	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
250.1152341	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
240.3113001	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
246.9774858	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
240.8158758	,	1	,	2552.1067	,	1347.07768	,	355.6064	,	9.76177	,	0.530908	,	97.5954	,	3.4456	,	33.3467	,	35.4467	,	-0.0221967	,	-2.29056	,	65.5206	,	47.4709	,	3.86353	,	657.324	,	744.564	,	0.200632	,	129.322	,	Edge
238.6756263	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
243.1365818	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
238.1837966	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
242.6390045	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
237.1360959	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
250.5755993	,	5	,	2533.9813	,	1350.947225	,	347.3725	,	9.71462	,	0.535606	,	98.4432	,	3.2128	,	31.5473	,	33.6473	,	-0.0226939	,	-2.30566	,	61.7309	,	44.0327	,	3.95298	,	646.638	,	744.174	,	0.154149	,	133.445	,	Edge
247.5714645	,	4	,	2531.1787	,	1371.886592	,	352.7066	,	9.79522	,	0.538323	,	98.2081	,	3.3614	,	31.2877	,	33.3877	,	-0.0219267	,	-2.29657	,	63.1259	,	43.904	,	3.97357	,	661.352	,	703.925	,	0.131496	,	134.989	,	Edge
233.1464841	,	4	,	2531.1787	,	1371.886592	,	352.7066	,	9.79522	,	0.538323	,	98.2081	,	3.3614	,	31.2877	,	33.3877	,	-0.0219267	,	-2.29657	,	63.1259	,	43.904	,	3.97357	,	661.352	,	703.925	,	0.131496	,	134.989	,	Edge
231.2352941	,	4	,	2531.1787	,	1371.886592	,	352.7066	,	9.79522	,	0.538323	,	98.2081	,	3.3614	,	31.2877	,	33.3877	,	-0.0219267	,	-2.29657	,	63.1259	,	43.904	,	3.97357	,	661.352	,	703.925	,	0.131496	,	134.989	,	Edge
223.4766252	,	6	,	2507.206	,	1374.247195	,	339.9778	,	10.0058	,	0.559214	,	102.203	,	3.3187	,	31.0261	,	33.1261	,	-0.022256	,	-2.2498	,	60.3371	,	40.5357	,	3.78668	,	682.904	,	737.803	,	0.226051	,	137.914	,	Center
223.24846	,	6	,	2507.206	,	1374.247195	,	339.9778	,	10.0058	,	0.559214	,	102.203	,	3.3187	,	31.0261	,	33.1261	,	-0.022256	,	-2.2498	,	60.3371	,	40.5357	,	3.78668	,	682.904	,	737.803	,	0.226051	,	137.914	,	Center
217.8399513	,	6	,	2507.206	,	1374.247195	,	339.9778	,	10.0058	,	0.559214	,	102.203	,	3.3187	,	31.0261	,	33.1261	,	-0.022256	,	-2.2498	,	60.3371	,	40.5357	,	3.78668	,	682.904	,	737.803	,	0.226051	,	137.914	,	Center
235.6251713	,	13	,	2546.3496	,	1349.933956	,	344.9345	,	10.0328	,	0.52293	,	99.7654	,	3.1648	,	31.4535	,	33.5535	,	-0.026441	,	-2.22246	,	64.6344	,	40.6001	,	3.86614	,	650.193	,	753.302	,	0.254056	,	137.03	,	Middle
238.0573449	,	13	,	2546.3496	,	1349.933956	,	344.9345	,	10.0328	,	0.52293	,	99.7654	,	3.1648	,	31.4535	,	33.5535	,	-0.026441	,	-2.22246	,	64.6344	,	40.6001	,	3.86614	,	650.193	,	753.302	,	0.254056	,	137.03	,	Middle
236.7453732	,	13	,	2546.3496	,	1349.933956	,	344.9345	,	10.0328	,	0.52293	,	99.7654	,	3.1648	,	31.4535	,	33.5535	,	-0.026441	,	-2.22246	,	64.6344	,	40.6001	,	3.86614	,	650.193	,	753.302	,	0.254056	,	137.03	,	Middle
235.7148875	,	13	,	2546.3496	,	1349.933956	,	344.9345	,	10.0328	,	0.52293	,	99.7654	,	3.1648	,	31.4535	,	33.5535	,	-0.026441	,	-2.22246	,	64.6344	,	40.6001	,	3.86614	,	650.193	,	753.302	,	0.254056	,	137.03	,	Middle
236.4502998	,	2	,	2496.0186	,	1377.440837	,	339.5415	,	9.98555	,	0.519588	,	104.131	,	2.876	,	33.1005	,	35.2005	,	-0.025231	,	-2.33246	,	54.4652	,	48.5787	,	3.90666	,	663.36	,	778.665	,	0.167715	,	132.229	,	Edge
239.658796	,	2	,	2496.0186	,	1377.440837	,	339.5415	,	9.98555	,	0.519588	,	104.131	,	2.876	,	33.1005	,	35.2005	,	-0.025231	,	-2.33246	,	54.4652	,	48.5787	,	3.90666	,	663.36	,	778.665	,	0.167715	,	132.229	,	Edge
234.1264791	,	2	,	2496.0186	,	1377.440837	,	339.5415	,	9.98555	,	0.519588	,	104.131	,	2.876	,	33.1005	,	35.2005	,	-0.025231	,	-2.33246	,	54.4652	,	48.5787	,	3.90666	,	663.36	,	778.665	,	0.167715	,	132.229	,	Edge
232.2179071	,	2	,	2496.0186	,	1377.440837	,	339.5415	,	9.98555	,	0.519588	,	104.131	,	2.876	,	33.1005	,	35.2005	,	-0.025231	,	-2.33246	,	54.4652	,	48.5787	,	3.90666	,	663.36	,	778.665	,	0.167715	,	132.229	,	Edge
232.8211694	,	2	,	2496.0186	,	1377.440837	,	339.5415	,	9.98555	,	0.519588	,	104.131	,	2.876	,	33.1005	,	35.2005	,	-0.025231	,	-2.33246	,	54.4652	,	48.5787	,	3.90666	,	663.36	,	778.665	,	0.167715	,	132.229	,	Edge
231.8692839	,	1	,	2484.3355	,	1375.1434	,	349.9398	,	9.7123	,	0.508775	,	98.9388	,	3.2647	,	32.422	,	34.522	,	-0.0224456	,	-2.26582	,	60.6384	,	66.5481	,	3.88912	,	682.883	,	797.134	,	0.158726	,	131.141	,	Edge
228.2431224	,	1	,	2484.3355	,	1375.1434	,	349.9398	,	9.7123	,	0.508775	,	98.9388	,	3.2647	,	32.422	,	34.522	,	-0.0224456	,	-2.26582	,	60.6384	,	66.5481	,	3.88912	,	682.883	,	797.134	,	0.158726	,	131.141	,	Edge
230.9949419	,	1	,	2484.3355	,	1375.1434	,	349.9398	,	9.7123	,	0.508775	,	98.9388	,	3.2647	,	32.422	,	34.522	,	-0.0224456	,	-2.26582	,	60.6384	,	66.5481	,	3.88912	,	682.883	,	797.134	,	0.158726	,	131.141	,	Edge
233.4815702	,	1	,	2484.3355	,	1375.1434	,	349.9398	,	9.7123	,	0.508775	,	98.9388	,	3.2647	,	32.422	,	34.522	,	-0.0224456	,	-2.26582	,	60.6384	,	66.5481	,	3.88912	,	682.883	,	797.134	,	0.158726	,	131.141	,	Edge
230.5507993	,	1	,	2484.3355	,	1375.1434	,	349.9398	,	9.7123	,	0.508775	,	98.9388	,	3.2647	,	32.422	,	34.522	,	-0.0224456	,	-2.26582	,	60.6384	,	66.5481	,	3.88912	,	682.883	,	797.134	,	0.158726	,	131.141	,	Edge
230.6704904	,	11	,	2480.9844	,	1373.68526	,	338.8877	,	9.95965	,	0.516608	,	98.0622	,	3.0896	,	32.5093	,	34.6093	,	-0.0234735	,	-2.28179	,	62.0095	,	44.0194	,	3.86805	,	687.757	,	766.364	,	0.184798	,	133.478	,	Middle
230.0643644	,	11	,	2480.9844	,	1373.68526	,	338.8877	,	9.95965	,	0.516608	,	98.0622	,	3.0896	,	32.5093	,	34.6093	,	-0.0234735	,	-2.28179	,	62.0095	,	44.0194	,	3.86805	,	687.757	,	766.364	,	0.184798	,	133.478	,	Middle
231.683638	,	11	,	2480.9844	,	1373.68526	,	338.8877	,	9.95965	,	0.516608	,	98.0622	,	3.0896	,	32.5093	,	34.6093	,	-0.0234735	,	-2.28179	,	62.0095	,	44.0194	,	3.86805	,	687.757	,	766.364	,	0.184798	,	133.478	,	Middle
239.2368279	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
233.9154582	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
235.9127483	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
234.3972872	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
234.2495529	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
235.2997918	,	5	,	2460.1343	,	1354.897958	,	337.7068	,	9.68411	,	0.52043	,	102.557	,	3.1145	,	32.389	,	34.489	,	-0.0216453	,	-2.32126	,	59.0296	,	48.9415	,	3.81582	,	652.573	,	794.262	,	0.185935	,	130.931	,	Edge
218.6226822	,	9	,	2469.7347	,	1380.821882	,	330.9779	,	9.98743	,	0.531932	,	104.821	,	2.908	,	32.6596	,	34.7596	,	-0.0237802	,	-2.21706	,	61.03	,	40.4568	,	3.71819	,	660.875	,	761.059	,	0.162044	,	133.375	,	Center
224.1174674	,	9	,	2469.7347	,	1380.821882	,	330.9779	,	9.98743	,	0.531932	,	104.821	,	2.908	,	32.6596	,	34.7596	,	-0.0237802	,	-2.21706	,	61.03	,	40.4568	,	3.71819	,	660.875	,	761.059	,	0.162044	,	133.375	,	Center
222.4042101	,	9	,	2469.7347	,	1380.821882	,	330.9779	,	9.98743	,	0.531932	,	104.821	,	2.908	,	32.6596	,	34.7596	,	-0.0237802	,	-2.21706	,	61.03	,	40.4568	,	3.71819	,	660.875	,	761.059	,	0.162044	,	133.375	,	Center
223.3472644	,	6	,	2447.9687	,	1386.510388	,	323.0256	,	10.088	,	0.54884	,	101.306	,	3.0627	,	32.8664	,	34.9664	,	-0.0224379	,	-2.2136	,	58.1036	,	38.8133	,	3.7247	,	676.273	,	756.357	,	0.159447	,	133.87	,	Center
222.8986882	,	6	,	2447.9687	,	1386.510388	,	323.0256	,	10.088	,	0.54884	,	101.306	,	3.0627	,	32.8664	,	34.9664	,	-0.0224379	,	-2.2136	,	58.1036	,	38.8133	,	3.7247	,	676.273	,	756.357	,	0.159447	,	133.87	,	Center
217.5616517	,	6	,	2447.9687	,	1386.510388	,	323.0256	,	10.088	,	0.54884	,	101.306	,	3.0627	,	32.8664	,	34.9664	,	-0.0224379	,	-2.2136	,	58.1036	,	38.8133	,	3.7247	,	676.273	,	756.357	,	0.159447	,	133.87	,	Center
206.8849309	,	8	,	2471.4147	,	1384.572238	,	332.3765	,	9.74895	,	0.545818	,	106.247	,	2.938	,	32.5113	,	34.6113	,	-0.0227218	,	-2.26063	,	58.1334	,	40.4316	,	3.96297	,	676.561	,	757.425	,	0.163517	,	131.293	,	Center
202.4966355	,	8	,	2471.4147	,	1384.572238	,	332.3765	,	9.74895	,	0.545818	,	106.247	,	2.938	,	32.5113	,	34.6113	,	-0.0227218	,	-2.26063	,	58.1334	,	40.4316	,	3.96297	,	676.561	,	757.425	,	0.163517	,	131.293	,	Center
210.2229547	,	8	,	2471.4147	,	1384.572238	,	332.3765	,	9.74895	,	0.545818	,	106.247	,	2.938	,	32.5113	,	34.6113	,	-0.0227218	,	-2.26063	,	58.1334	,	40.4316	,	3.96297	,	676.561	,	757.425	,	0.163517	,	131.293	,	Center
219.9568965	,	8	,	2471.4147	,	1384.572238	,	332.3765	,	9.74895	,	0.545818	,	106.247	,	2.938	,	32.5113	,	34.6113	,	-0.0227218	,	-2.26063	,	58.1334	,	40.4316	,	3.96297	,	676.561	,	757.425	,	0.163517	,	131.293	,	Center
212.1180518	,	7	,	2453.055	,	1389.780099	,	325.9532	,	9.86539	,	0.55476	,	105.353	,	2.9825	,	32.5152	,	34.6152	,	-0.0224777	,	-2.24706	,	57.1159	,	43.5586	,	3.93375	,	693.485	,	772.193	,	0.143344	,	132.49	,	Center
211.0075985	,	7	,	2453.055	,	1389.780099	,	325.9532	,	9.86539	,	0.55476	,	105.353	,	2.9825	,	32.5152	,	34.6152	,	-0.0224777	,	-2.24706	,	57.1159	,	43.5586	,	3.93375	,	693.485	,	772.193	,	0.143344	,	132.49	,	Center
203.2319087	,	7	,	2453.055	,	1389.780099	,	325.9532	,	9.86539	,	0.55476	,	105.353	,	2.9825	,	32.5152	,	34.6152	,	-0.0224777	,	-2.24706	,	57.1159	,	43.5586	,	3.93375	,	693.485	,	772.193	,	0.143344	,	132.49	,	Center
203.0889805	,	7	,	2453.055	,	1389.780099	,	325.9532	,	9.86539	,	0.55476	,	105.353	,	2.9825	,	32.5152	,	34.6152	,	-0.0224777	,	-2.24706	,	57.1159	,	43.5586	,	3.93375	,	693.485	,	772.193	,	0.143344	,	132.49	,	Center
200.6598663	,	7	,	2453.055	,	1389.780099	,	325.9532	,	9.86539	,	0.55476	,	105.353	,	2.9825	,	32.5152	,	34.6152	,	-0.0224777	,	-2.24706	,	57.1159	,	43.5586	,	3.93375	,	693.485	,	772.193	,	0.143344	,	132.49	,	Center
230.9413449	,	10	,	2451.0355	,	1369.603168	,	330.0983	,	9.68506	,	0.545247	,	98.5735	,	3.0747	,	32.3466	,	34.4466	,	-0.0212888	,	-2.31062	,	64.9364	,	44.4017	,	3.83349	,	671.189	,	743.03	,	0.170868	,	131.05	,	Middle
231.7066746	,	10	,	2451.0355	,	1369.603168	,	330.0983	,	9.68506	,	0.545247	,	98.5735	,	3.0747	,	32.3466	,	34.4466	,	-0.0212888	,	-2.31062	,	64.9364	,	44.4017	,	3.83349	,	671.189	,	743.03	,	0.170868	,	131.05	,	Middle
235.43814	,	10	,	2451.0355	,	1369.603168	,	330.0983	,	9.68506	,	0.545247	,	98.5735	,	3.0747	,	32.3466	,	34.4466	,	-0.0212888	,	-2.31062	,	64.9364	,	44.4017	,	3.83349	,	671.189	,	743.03	,	0.170868	,	131.05	,	Middle
234.4159726	,	12	,	2512.7744	,	1362.118208	,	348.3205	,	10.1158	,	0.517517	,	101.631	,	3.1051	,	31.8941	,	33.9941	,	-0.0254374	,	-2.22005	,	61.8929	,	52.8828	,	4.01321	,	684.244	,	792.481	,	0.191869	,	136.704	,	Middle
228.5698465	,	12	,	2512.7744	,	1362.118208	,	348.3205	,	10.1158	,	0.517517	,	101.631	,	3.1051	,	31.8941	,	33.9941	,	-0.0254374	,	-2.22005	,	61.8929	,	52.8828	,	4.01321	,	684.244	,	792.481	,	0.191869	,	136.704	,	Middle
232.2288751	,	12	,	2512.7744	,	1362.118208	,	348.3205	,	10.1158	,	0.517517	,	101.631	,	3.1051	,	31.8941	,	33.9941	,	-0.0254374	,	-2.22005	,	61.8929	,	52.8828	,	4.01321	,	684.244	,	792.481	,	0.191869	,	136.704	,	Middle
221.2878294	,	4	,	2445.9262	,	1379.693462	,	323.9917	,	9.57854	,	0.511693	,	95.7363	,	3.2491	,	32.5657	,	34.6657	,	-0.0224708	,	-2.33554	,	62.5904	,	45.6305	,	3.89447	,	653.686	,	735.919	,	0.150582	,	129.378	,	Edge
219.945541	,	4	,	2445.9262	,	1379.693462	,	323.9917	,	9.57854	,	0.511693	,	95.7363	,	3.2491	,	32.5657	,	34.6657	,	-0.0224708	,	-2.33554	,	62.5904	,	45.6305	,	3.89447	,	653.686	,	735.919	,	0.150582	,	129.378	,	Edge
223.2821892	,	4	,	2445.9262	,	1379.693462	,	323.9917	,	9.57854	,	0.511693	,	95.7363	,	3.2491	,	32.5657	,	34.6657	,	-0.0224708	,	-2.33554	,	62.5904	,	45.6305	,	3.89447	,	653.686	,	735.919	,	0.150582	,	129.378	,	Edge
235.122076	,	13	,	2490.9293	,	1360.981426	,	340.4991	,	9.89997	,	0.528811	,	101.337	,	2.9382	,	33.0816	,	35.1816	,	-0.023142	,	-2.30777	,	59.3557	,	41.3771	,	3.81269	,	662.944	,	772.622	,	0.169546	,	131.402	,	Middle
237.5529413	,	13	,	2490.9293	,	1360.981426	,	340.4991	,	9.89997	,	0.528811	,	101.337	,	2.9382	,	33.0816	,	35.1816	,	-0.023142	,	-2.30777	,	59.3557	,	41.3771	,	3.81269	,	662.944	,	772.622	,	0.169546	,	131.402	,	Middle
