ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,CDAccount,PLoan
54,50,26,190,3,2.1,3,240,No,Yes
55,29,5,44,1,0.2,3,0,No,No
56,41,17,139,2,8.0,1,0,No,No
57,55,30,29,3,0.1,2,0,Yes,No
58,56,31,131,2,1.2,3,0,No,Yes
59,28,2,93,2,0.2,1,0,No,No
60,31,5,188,2,4.5,1,455,No,No
61,49,24,39,3,1.7,2,0,No,No
62,47,21,125,1,5.7,1,112,No,No
63,42,18,22,1,1.0,1,0,No,No
64,42,17,32,4,0.0,2,0,No,No
65,47,23,105,2,3.3,1,0,No,No
66,59,35,131,1,3.8,1,0,No,No
67,62,36,105,2,2.8,1,336,No,No
68,53,23,45,4,2.0,3,132,No,No
69,47,21,60,3,2.1,1,0,No,No
70,53,29,20,4,0.2,1,0,No,No
71,42,18,115,1,3.5,1,0,No,No
72,53,29,69,4,1.0,2,0,No,No
73,44,20,130,1,5.0,1,0,No,No
74,41,16,85,1,4.0,3,0,No,No
75,28,3,135,2,3.3,1,0,No,No
76,31,7,135,4,3.8,2,0,Yes,Yes
77,58,32,12,3,0.3,3,0,No,No
78,46,20,29,3,0.5,2,0,No,No
79,54,30,133,2,2.6,3,0,No,Yes
80,50,26,19,2,0.4,1,118,No,No
81,60,36,41,4,1.3,1,174,No,No
82,47,22,40,3,2.7,2,0,No,No
83,41,16,82,1,4.0,3,0,No,No
84,33,9,50,1,2.4,2,0,No,No
85,46,22,18,1,0.9,3,0,No,No
86,27,2,109,4,1.8,3,0,No,No
87,40,16,42,4,2.2,2,126,No,No
88,48,22,78,3,1.1,1,0,No,No
89,65,41,51,2,1.1,1,0,No,No
90,25,-1,113,4,2.3,3,0,No,No
91,55,30,118,4,5.6,2,0,No,Yes
92,35,10,29,4,1.1,3,0,No,No
93,43,19,34,3,0.6,2,0,No,No
94,60,34,64,2,1.7,3,236,No,No
95,65,39,121,1,2.0,1,0,No,No
96,38,12,48,4,0.2,3,0,No,No
97,41,15,80,1,5.2,1,0,No,No
98,54,28,161,1,2.9,1,0,No,No
99,49,23,94,1,0.3,1,0,No,No
100,66,41,15,3,0.1,3,0,No,No
101,48,23,74,1,1.2,1,0,No,No
102,61,36,30,3,1.3,2,0,No,No
103,53,23,44,3,1.0,3,198,No,No
104,43,18,22,2,0.3,2,0,No,No
105,56,32,38,4,1.3,1,166,No,No
106,24,0,35,3,0.1,2,0,No,No
107,43,17,69,4,2.9,1,0,No,No
108,42,18,43,1,0.7,1,136,No,No
109,33,7,32,1,0.6,3,166,No,No
110,43,17,49,1,2.8,1,0,No,No
111,41,14,9,3,1.0,2,0,No,No
112,62,38,45,4,1.3,2,0,No,No
113,40,15,82,3,1.0,1,309,No,No
114,58,34,92,2,2.8,1,103,No,No
115,39,14,39,3,0.5,3,0,No,No
116,65,40,81,3,1.8,2,0,No,No
117,54,29,35,1,1.5,2,0,No,No
118,58,33,61,2,2.3,3,193,No,No
119,41,16,73,3,3.0,1,0,No,No
120,32,7,112,1,4.6,1,366,No,No
121,54,29,12,2,0.2,3,0,No,No
122,52,26,38,3,0.9,3,0,No,No
123,58,32,73,2,0.7,2,0,No,No
124,37,13,84,1,3.6,2,0,No,No
125,39,15,78,4,2.4,1,118,No,No
126,60,35,80,3,0.5,1,0,No,No
127,31,5,115,2,1.3,1,101,No,No
128,34,8,82,1,2.7,2,251,No,No
129,38,14,74,2,0.0,1,0,No,No
130,41,16,70,3,0.5,3,0,No,No
131,28,4,81,3,1.5,1,276,No,No
132,58,34,149,4,7.2,2,0,Yes,Yes
133,31,1,51,2,1.75,3,0,No,No
134,30,4,39,3,1.1,2,0,No,No
135,53,29,98,3,1.8,2,0,No,No
136,58,33,45,4,2.1,1,0,No,No
137,59,32,49,4,2.5,2,0,No,No
138,49,25,128,2,0.4,1,0,No,No
139,59,34,42,3,1.5,1,0,Yes,No
140,59,35,18,1,1.2,3,0,No,No
141,51,25,31,2,0.4,3,161,No,No
142,35,11,58,3,2.0,1,149,No,No
143,33,9,48,1,2.1,3,0,No,No
144,25,1,54,4,1.6,1,0,No,No
145,49,23,70,2,1.5,2,0,No,No
146,59,35,124,1,7.4,1,0,No,No
147,46,19,84,1,2.67,2,0,No,No
148,50,25,83,4,3.6,3,188,No,No
149,52,28,163,2,0.4,1,116,No,No
150,48,22,42,3,2.2,2,0,No,No
151,46,22,118,2,7.5,1,0,Yes,No
152,26,0,132,3,6.5,3,0,No,Yes
153,57,32,24,1,1.3,1,0,No,No
154,60,36,22,2,1.0,1,0,Yes,No
155,54,29,58,4,1.3,3,0,No,No
156,24,0,60,4,1.6,1,0,No,No
157,26,0,15,4,0.4,1,0,No,No
158,41,17,83,4,2.67,1,0,No,No
159,32,6,79,2,1.5,3,0,No,No
160,61,35,41,4,1.7,2,0,No,No
161,29,0,134,4,6.5,3,0,No,Yes
162,61,35,80,2,2.8,1,0,No,No
163,38,12,52,1,2.0,1,0,No,No
164,28,4,70,4,2.6,1,0,No,No
165,53,27,92,2,1.1,1,0,No,No
166,27,1,43,1,1.5,1,0,No,No
167,25,1,21,3,1.0,2,0,No,No
168,33,9,23,3,0.9,3,0,No,No
169,50,26,13,4,1.0,1,0,No,No
170,27,1,112,4,2.1,3,0,No,No
171,27,1,138,2,2.0,1,0,No,No
172,52,28,11,3,0.4,1,0,No,No
173,38,13,171,2,7.8,1,0,No,No
174,58,34,42,4,1.5,1,0,No,No
175,42,17,168,2,7.9,2,0,No,Yes
176,45,20,85,4,1.1,2,0,No,No
177,52,25,44,3,1.0,2,135,No,No
178,29,3,65,4,1.8,2,244,No,No
179,53,29,24,4,0.2,1,0,No,No
180,62,37,11,1,0.1,1,0,No,No
181,51,27,38,2,1.0,3,164,No,No
182,36,12,10,4,0.7,2,81,No,No
183,24,0,135,1,1.5,1,0,No,No
184,29,3,148,3,4.1,1,0,No,Yes
185,52,26,63,2,1.5,2,0,No,No
186,39,14,115,1,1.0,3,0,No,No
187,48,23,45,1,0.3,1,0,No,No
188,46,21,159,3,1.9,3,315,No,Yes
189,64,40,169,2,2.1,1,122,No,No
190,55,29,112,2,1.4,1,0,No,No
191,60,36,93,1,4.3,1,0,No,No
192,51,25,29,1,0.3,3,140,No,No
193,50,23,85,1,2.67,2,0,No,No
194,48,24,21,4,0.6,1,0,No,No
195,53,29,144,2,6.8,1,0,No,No
196,34,10,13,4,1.0,1,95,No,No
197,48,24,165,1,5.0,1,0,No,No
198,55,31,9,4,0.7,1,89,No,No
199,27,3,59,4,0.0,1,90,No,No
200,36,11,158,1,5.1,3,0,Yes,Yes
201,32,6,29,1,1.9,3,0,No,No
202,35,9,20,2,1.4,3,0,No,No
203,30,3,68,4,2.0,2,0,No,No
204,58,34,65,4,2.2,1,0,No,No
205,56,31,61,2,1.9,2,105,No,No
206,38,12,91,4,1.4,2,100,No,No
207,49,25,31,1,1.0,1,0,No,No
208,34,10,71,4,0.1,2,0,No,No
209,40,16,73,4,2.67,1,0,No,No
210,64,39,172,4,3.1,1,282,Yes,Yes
211,51,26,20,2,0.0,1,0,No,No
212,44,18,55,1,0.2,1,0,No,No
213,46,22,69,2,1.7,1,209,No,No
214,57,33,155,1,7.4,1,0,No,No
215,54,28,94,1,1.9,2,0,No,No
216,38,14,92,2,0.0,1,249,No,No
217,27,3,125,2,0.6,1,0,No,No
218,39,14,74,3,3.0,1,0,No,No
219,44,20,72,3,0.3,3,0,No,No
220,56,30,61,1,2.2,3,0,No,No
221,32,6,25,2,0.3,1,0,No,No
222,45,19,83,2,1.7,2,0,No,No
223,26,2,104,3,2.5,1,0,No,No
224,55,25,41,3,1.0,3,0,No,No
225,52,27,58,4,1.8,3,91,No,No
226,39,13,93,1,1.5,3,0,No,No
227,24,-1,39,2,1.7,2,0,No,No
228,47,23,148,2,7.5,1,0,Yes,No
229,47,22,53,4,1.9,3,98,Yes,No
230,48,24,71,2,1.7,1,145,No,No
231,47,22,92,1,2.8,2,0,No,No
232,35,10,61,4,2.1,3,0,No,No
233,46,19,38,3,2.5,2,135,No,No
234,62,37,58,4,1.7,1,0,No,No
235,26,1,80,1,0.8,2,150,No,No
236,38,8,71,4,1.8,3,0,No,No
237,43,18,89,3,0.5,3,0,No,No
238,62,38,83,1,1.8,3,0,No,No
239,57,32,28,3,0.2,1,0,No,No
240,28,3,52,4,1.7,2,0,No,No
241,51,26,70,1,1.2,1,169,No,No
242,48,22,71,1,1.4,3,0,No,No
243,41,16,75,1,3.7,3,280,No,No
244,65,39,170,3,7.9,3,99,Yes,Yes
245,41,17,78,4,0.8,1,78,No,No
246,35,11,25,2,1.0,2,0,No,No
247,38,14,60,2,0.6,3,0,No,No
248,53,29,120,4,2.7,2,111,Yes,Yes
249,55,29,99,2,1.4,1,264,No,No
250,26,1,55,3,2.6,3,113,No,No
251,30,6,29,3,1.0,2,117,No,No
252,54,28,170,2,6.2,2,325,No,Yes
253,65,40,53,3,2.2,1,0,No,No
254,47,21,138,1,0.0,1,0,No,No
255,65,41,134,3,3.9,3,121,No,Yes
256,66,40,42,2,0.7,3,138,No,No
257,26,0,99,4,2.3,3,0,No,No
258,66,41,18,3,0.5,1,0,No,No
259,35,9,24,4,0.3,1,0,No,No
260,56,30,55,1,1.4,1,77,No,No
261,51,27,58,1,0.0,1,0,No,No
262,42,16,111,2,1.2,3,251,No,Yes
263,49,23,33,1,0.3,3,0,Yes,No
264,27,1,74,4,1.8,2,112,No,No
265,45,19,38,2,0.7,1,0,No,No
266,49,23,23,4,0.6,3,98,No,No
267,63,38,61,2,1.5,1,0,No,No
268,47,22,81,1,2.9,1,138,No,No
269,64,39,129,1,2.5,1,0,No,No
270,43,13,33,1,0.75,3,0,No,No
271,60,36,63,4,2.2,1,0,No,No
272,40,14,70,4,1.4,2,0,No,No
273,29,3,45,4,0.2,1,158,No,No
274,41,16,65,3,0.5,3,0,No,No
275,30,5,74,4,2.2,1,0,No,No
276,49,24,50,4,1.8,3,0,No,No
277,30,5,22,4,0.5,3,109,No,No
278,29,2,30,4,1.0,3,0,No,No
279,50,26,21,4,1.0,1,0,No,No
280,39,14,155,2,3.9,1,0,No,No
281,33,8,64,4,2.1,3,164,No,No
282,57,31,65,4,2.6,3,0,No,No
283,34,9,71,4,0.7,3,0,No,No
284,61,36,40,3,0.5,2,0,No,No
285,44,19,69,3,0.5,3,0,No,No
286,40,13,69,3,2.33,2,0,No,No
287,51,25,45,3,0.6,2,131,No,No
288,37,12,62,3,0.7,2,0,No,No
289,44,19,172,2,4.3,3,391,Yes,Yes
290,42,15,24,3,1.0,2,0,No,No
291,51,25,80,1,4.9,1,0,No,No
292,43,16,8,3,0.67,2,88,No,No
293,30,5,38,4,0.8,1,129,No,No
294,45,19,93,4,2.6,3,0,No,No
295,35,9,55,1,2.0,1,0,No,No
296,60,34,64,2,1.7,3,0,No,No
297,34,9,122,1,0.0,1,0,No,No
298,55,25,70,3,1.4,3,0,No,No
299,43,19,81,2,3.2,1,0,No,No
300,41,15,159,1,5.5,3,0,Yes,Yes
301,34,9,70,4,1.3,1,0,No,No
302,65,39,150,2,6.9,1,196,No,No
303,45,21,152,2,7.5,1,0,No,No
304,49,25,195,4,3.0,1,617,No,Yes
305,48,23,22,1,0.1,1,0,No,No
306,60,35,22,1,1.3,1,123,No,No
307,55,29,79,3,0.8,1,0,No,No
308,42,18,33,1,1.4,3,0,No,No
309,32,8,128,2,4.33,1,0,Yes,No
310,62,38,91,1,3.8,1,0,No,No
311,57,32,39,4,0.9,1,0,No,No
312,52,26,121,1,7.3,1,167,No,No
313,36,6,21,1,0.67,3,0,No,No
314,34,9,41,3,2.3,1,0,No,No
315,63,37,45,2,0.7,3,0,No,No
316,24,-2,51,3,0.3,3,0,No,No
317,57,31,165,1,1.6,2,0,No,Yes
318,40,16,119,2,4.2,2,0,No,Yes
319,27,2,110,4,1.8,3,190,No,No
320,65,39,20,3,0.7,2,0,No,No
321,60,34,64,1,0.8,2,248,No,No
322,44,20,101,3,4.4,2,82,No,Yes
323,63,39,101,1,3.9,1,0,Yes,Yes
324,59,34,99,1,4.4,1,0,No,Yes
325,56,30,158,4,6.1,1,0,No,Yes
326,54,28,89,1,1.9,2,0,No,No
327,52,27,80,1,1.3,3,0,Yes,No
328,58,32,114,2,2.0,1,402,No,No
329,60,35,49,3,0.5,2,0,No,No
330,28,4,191,1,6.33,1,0,No,No
331,54,30,78,4,1.0,2,0,No,No
332,32,6,28,3,1.0,1,0,No,No
333,59,33,42,1,0.8,2,0,No,No
334,63,38,140,1,2.5,1,0,No,No
335,48,23,45,1,1.3,2,0,No,No
336,56,32,122,2,0.3,1,360,Yes,No
337,36,12,65,3,2.6,2,0,No,No
338,57,27,68,1,1.4,3,0,No,No
339,29,3,153,2,2.0,1,392,No,No
340,39,13,89,4,1.4,2,0,No,No
341,59,34,91,1,2.6,1,0,No,No
342,31,6,55,4,2.0,2,185,No,No
343,43,19,118,2,3.3,1,0,No,No
344,35,5,22,1,0.67,3,103,No,No
345,54,24,63,3,1.4,3,138,No,No
346,51,27,12,4,0.5,2,78,No,No
347,44,19,50,3,2.7,2,0,No,No
348,25,0,43,2,1.6,3,0,Yes,No
349,40,15,173,4,6.6,1,0,Yes,Yes
350,26,2,60,2,3.0,1,132,No,Yes
351,39,14,113,1,1.0,3,0,No,No
352,28,4,155,4,5.3,2,0,No,Yes
353,52,28,91,4,1.0,2,0,No,No
354,53,29,55,4,1.1,2,0,No,No
355,44,20,173,2,1.4,1,419,No,No
356,43,19,71,3,0.3,3,0,No,No
357,56,30,24,2,0.4,3,88,No,No
358,38,14,42,1,2.0,2,81,No,No
359,30,6,141,2,4.33,1,0,No,No
360,32,6,32,1,1.9,3,0,No,No
361,35,10,55,4,1.3,1,0,No,No
362,43,19,153,2,7.5,1,0,No,No
363,58,32,113,2,1.4,1,270,No,No
364,25,0,30,2,1.7,2,0,No,No
365,54,24,29,3,1.0,3,148,No,No
366,57,32,174,1,6.8,2,466,No,Yes
367,50,24,35,1,0.3,3,0,No,No
368,32,8,98,2,2.0,2,175,No,No
369,63,37,30,2,1.0,3,159,No,No
370,31,6,58,2,2.5,1,0,No,No
371,36,12,25,4,1.0,1,147,No,No
372,58,34,19,4,0.7,1,0,No,No
373,56,30,44,4,0.7,2,174,No,No
374,49,25,20,4,1.0,1,111,No,No
375,30,5,98,2,3.1,1,220,No,No
376,33,7,90,3,1.6,1,0,No,No
377,45,21,61,3,0.7,1,0,No,No
378,30,5,40,4,2.0,2,0,No,No
379,47,23,38,2,2.1,3,0,No,No
380,25,0,28,2,1.7,2,0,No,No
381,63,33,34,1,1.5,3,0,No,No
382,55,29,73,2,2.3,3,0,No,No
383,65,41,133,4,2.0,1,0,No,Yes
384,44,18,53,1,0.2,1,0,No,No
385,51,25,21,4,0.6,3,0,No,No
386,35,9,40,3,0.9,1,0,No,No
387,30,5,41,4,1.7,2,0,No,No
388,31,5,82,4,1.8,2,0,No,No
389,54,30,100,4,3.4,3,0,No,Yes
390,45,20,155,1,7.0,1,0,No,No
391,45,19,45,1,0.2,1,0,No,No
392,58,32,9,3,0.3,3,0,No,No
393,54,29,48,4,1.8,3,0,No,No
394,53,28,18,4,0.1,3,109,Yes,No
395,33,9,80,4,3.4,1,0,No,No
396,60,35,64,2,2.8,1,0,No,No
397,50,24,29,4,0.1,1,0,No,No
398,26,2,48,3,0.7,2,0,No,No
399,54,30,23,2,0.4,1,0,No,No
400,28,3,84,4,0.2,1,0,No,No
401,36,10,179,3,6.6,1,0,No,Yes
402,29,2,30,4,1.5,2,112,No,No
403,54,28,93,1,4.9,1,133,Yes,No
404,55,30,39,2,1.9,2,0,No,No
405,61,36,60,3,0.5,2,182,No,No
406,36,11,133,1,3.8,1,290,Yes,No
407,45,19,125,1,2.4,1,0,No,No
408,64,40,58,1,1.8,3,0,No,No
409,60,36,89,2,2.8,1,0,No,No
410,49,22,82,1,2.67,2,125,No,No
411,47,23,110,2,3.3,1,0,No,No
412,60,36,54,4,2.3,3,0,No,No
413,45,20,89,4,1.9,3,0,No,No
414,32,7,42,3,2.3,1,0,No,No
415,52,28,41,3,1.9,2,0,No,No
416,35,8,38,4,1.0,2,124,No,No
417,40,15,85,2,0.4,1,0,No,No
418,53,29,83,4,1.0,2,0,No,No
419,27,0,33,4,1.0,3,0,No,No
420,58,33,50,4,2.1,1,0,No,No
421,47,22,58,4,3.6,3,0,No,No
422,28,3,115,4,3.1,2,0,No,Yes
423,46,20,145,2,6.3,1,0,Yes,No
424,43,19,161,2,7.5,1,0,No,No
425,56,30,38,1,0.2,1,0,No,No
426,28,3,28,4,0.8,1,0,No,No
427,42,18,75,3,2.33,1,0,No,No
428,32,7,35,3,1.3,1,116,No,No
429,62,38,24,2,1.0,1,116,No,No
430,37,13,78,4,0.1,2,0,No,No
431,51,26,113,1,1.3,3,161,No,No
432,39,13,75,3,2.1,1,224,No,No
433,43,17,91,1,5.7,1,0,No,No
434,52,28,31,4,0.2,1,141,No,No
435,30,6,45,1,1.8,2,0,No,No
436,52,26,80,3,0.8,1,0,No,No
437,61,35,50,3,1.4,3,112,No,No
438,36,9,31,4,1.0,2,0,No,No
439,58,32,113,2,3.8,2,119,Yes,Yes
440,47,23,29,4,0.6,1,0,No,No
441,64,39,59,2,1.5,1,139,No,No
442,52,27,43,1,1.3,2,0,No,No
443,58,28,122,1,3.0,3,115,No,Yes
444,48,24,29,1,1.0,1,0,No,No
445,64,40,91,2,0.0,3,0,No,No
446,58,32,65,3,2.2,3,0,No,No
447,47,23,22,1,1.0,1,0,No,No
448,49,23,71,1,1.4,3,0,No,No
449,31,4,60,4,2.0,2,0,No,No
450,61,37,60,3,2.0,3,0,No,No
451,51,25,69,1,0.3,1,0,No,No
452,28,-2,48,2,1.75,3,89,No,No
453,39,13,21,3,0.2,2,0,No,No
454,54,28,53,4,2.8,2,0,No,No
455,50,24,29,3,0.9,3,0,No,No
456,30,4,60,4,2.2,2,0,No,No
457,64,39,42,3,0.5,2,116,No,No
458,29,3,69,3,0.3,3,0,No,No
459,48,24,20,1,1.0,1,0,No,No
460,35,10,200,2,3.0,1,458,No,No
461,60,36,141,2,2.1,1,0,No,No
462,55,30,81,2,3.7,1,0,No,No
463,29,4,183,3,8.3,3,0,No,Yes
464,48,22,149,2,5.5,2,0,Yes,Yes
465,43,19,83,4,3.6,3,0,No,Yes
466,66,42,35,1,1.9,2,172,No,No
467,25,0,13,2,0.9,3,0,No,No
468,45,20,39,1,2.4,1,0,No,No
469,34,10,21,1,0.5,3,0,No,No
470,48,23,10,2,0.7,3,0,No,No
471,32,6,84,4,1.8,2,0,No,No
472,50,24,30,4,0.1,1,161,No,No
473,43,19,31,4,0.3,1,156,No,No
474,64,39,182,1,1.2,2,547,No,Yes
475,60,34,114,2,6.9,1,0,No,No
476,43,19,152,3,6.1,2,0,No,Yes
477,60,34,53,1,0.8,2,0,No,No
478,64,39,24,4,0.4,2,78,No,No
479,44,20,150,2,3.3,1,0,No,No
480,60,36,132,2,6.0,1,470,No,No
481,54,29,68,3,1.6,3,0,No,No
482,33,9,53,1,1.2,1,0,No,No
483,56,32,173,1,4.6,2,88,Yes,Yes
484,29,5,30,3,1.0,2,0,No,No
485,25,1,113,2,0.2,1,0,No,No
486,60,34,15,1,0.8,2,0,No,No
487,55,30,84,2,3.7,1,304,No,No
488,39,13,88,4,1.4,2,0,No,No
489,37,13,43,3,2.8,1,0,No,No
490,53,28,43,2,2.1,3,0,Yes,No
491,34,10,90,2,2.7,1,0,No,No
492,42,18,34,4,0.3,1,104,No,No
493,60,36,38,4,1.3,1,0,No,No
494,50,24,173,1,1.0,1,0,No,No
495,41,17,160,2,8.0,1,0,No,No
496,25,0,44,4,0.6,2,0,No,No
497,50,24,83,2,0.4,3,0,No,No
498,48,22,94,4,2.6,3,0,No,No
499,32,8,43,1,2.1,3,0,No,No
500,50,25,42,3,1.7,2,0,No,No
501,59,33,34,2,0.3,1,0,No,No
502,50,26,39,3,1.9,2,0,No,No
503,44,19,70,1,0.1,2,0,No,No
504,31,5,39,4,1.8,3,185,No,No
505,40,10,44,3,2.0,3,0,No,No
506,36,12,69,3,3.1,2,0,No,Yes
507,51,25,44,3,0.9,3,0,No,No
508,64,40,32,3,0.1,3,0,No,No
509,47,22,15,2,0.7,3,0,No,No
510,52,28,118,2,6.8,1,112,No,No
511,51,26,62,1,1.3,2,221,No,No
512,31,5,82,4,2.2,2,0,No,No
513,39,14,54,3,3.0,1,108,No,No
514,30,6,48,1,2.1,3,0,No,No
515,27,1,74,3,0.3,3,0,No,No
516,41,16,113,1,1.0,3,211,No,No
517,53,27,81,3,1.7,2,0,No,No
518,54,27,43,3,1.0,2,169,No,No
519,28,4,34,1,1.8,2,0,No,No
520,34,9,48,1,2.5,3,105,No,No
521,61,37,54,4,1.2,2,129,No,No
522,48,24,75,4,1.4,2,0,No,No
523,36,11,72,1,2.8,1,224,No,No
524,56,31,39,4,0.9,1,0,No,No
525,24,-1,75,4,0.2,1,0,No,No
526,64,38,79,2,2.8,1,179,No,No
527,26,2,205,1,6.33,1,271,No,No
528,33,8,65,2,0.1,1,89,No,No
529,64,39,122,4,0.2,1,378,No,Yes
530,39,15,82,1,0.8,2,0,No,No
531,54,30,21,2,0.2,1,0,No,No
532,32,6,50,4,2.1,3,0,Yes,No
533,62,37,39,2,2.8,1,113,Yes,No
534,27,2,101,1,1.9,1,0,No,No
535,53,28,41,2,0.6,3,0,No,No
536,51,25,132,1,0.3,1,0,No,No
537,25,-1,43,3,2.4,2,176,No,No
538,44,20,131,1,4.9,3,0,No,Yes
539,31,5,11,1,0.4,2,76,No,No
540,57,32,21,1,0.3,3,117,No,No
541,25,-1,109,4,2.3,3,314,No,No
542,30,6,141,2,4.33,1,0,No,No
543,40,14,81,3,0.1,1,0,No,No
544,63,38,54,3,2.4,1,90,No,No
545,35,10,164,2,7.8,1,0,No,No
546,43,19,28,4,0.3,1,87,No,No
547,27,2,68,3,2.6,3,203,No,No
548,44,14,44,3,2.0,3,180,Yes,No
549,49,23,61,1,1.4,3,0,No,No
550,61,36,35,3,1.3,2,0,No,No
551,60,34,54,3,0.3,2,0,No,No
552,59,34,14,1,0.1,1,0,No,No
553,28,3,52,4,2.2,1,230,No,No
554,52,28,101,2,0.3,1,0,No,No
555,28,2,149,2,7.2,1,0,No,No
556,34,8,35,4,0.8,1,137,Yes,No
557,60,34,21,3,0.3,3,129,No,No
558,39,15,118,2,1.9,1,0,No,No
559,30,5,38,4,2.0,2,0,No,No
560,49,25,24,4,0.2,1,138,No,No
561,43,18,59,1,3.7,3,0,No,No
562,63,33,41,4,1.67,3,0,No,No
563,28,3,85,1,0.8,2,0,No,No
564,51,27,12,4,1.0,1,0,No,No
565,33,7,32,1,0.6,3,152,No,No
566,55,29,79,3,0.8,1,0,No,No
567,53,28,175,3,3.6,3,0,Yes,Yes
568,34,8,28,3,0.9,1,0,No,No
569,34,9,41,2,0.1,1,161,No,No
570,40,14,70,3,2.1,1,185,No,No
571,49,25,161,3,6.5,2,485,Yes,Yes
572,35,9,53,4,2.2,2,0,No,No
573,39,15,128,1,3.4,1,0,No,No
574,55,28,50,3,1.0,2,0,No,No
575,29,5,80,2,2.0,2,0,No,No
576,54,30,93,1,2.7,2,0,No,No
577,25,-1,48,3,0.3,3,0,No,No
578,52,28,149,2,6.8,1,0,No,No
579,46,19,49,3,2.5,2,0,No,No
580,57,33,88,1,2.7,2,0,No,No
581,52,22,22,4,0.4,3,0,No,No
582,28,3,55,4,2.2,1,0,No,No
583,44,18,72,1,0.7,3,155,No,No
584,24,-1,38,2,1.7,2,0,No,No
585,40,16,114,1,3.4,1,300,No,No
586,34,4,83,4,4.0,3,0,No,No
587,39,14,101,2,0.4,1,0,No,No
588,50,24,94,1,4.9,1,272,No,No
589,41,17,40,2,2.5,1,0,Yes,No
590,31,7,128,1,6.0,1,0,No,No
591,29,3,39,4,2.1,3,0,No,No
592,30,5,51,1,1.0,1,0,No,No
593,44,20,79,4,2.0,3,0,Yes,No
594,33,7,48,4,2.2,2,0,No,No
595,50,26,85,1,0.0,1,144,No,No
596,42,18,41,1,1.8,1,94,No,No
597,48,22,152,1,3.5,3,0,No,Yes
598,24,-2,125,2,7.2,1,0,No,No
599,56,31,11,2,0.2,3,90,No,No
600,28,4,103,2,2.5,1,0,No,No
601,56,30,141,2,0.5,1,0,No,No
602,58,32,38,1,1.4,1,0,No,No
603,29,5,135,2,0.6,1,0,No,No
604,63,38,28,2,0.5,2,89,No,No
605,28,3,70,4,2.2,1,240,No,No
606,57,31,41,1,0.2,1,0,No,No
607,34,8,81,3,0.9,2,208,No,No
608,28,3,170,1,0.1,3,0,No,Yes
609,27,2,55,4,1.7,2,0,No,No
610,37,11,24,4,1.5,3,0,No,No
611,52,28,81,3,1.8,2,275,No,No
612,49,23,32,4,1.8,1,83,No,No
613,65,40,129,1,1.3,1,0,No,No
614,60,35,108,1,0.9,1,0,No,No
615,37,12,180,1,8.6,1,0,No,No
616,63,37,139,2,6.9,1,0,No,No
617,40,14,33,2,1.4,3,0,No,No
618,46,20,74,4,2.6,3,0,No,No
619,63,37,42,2,0.7,3,115,No,No
620,57,27,73,1,3.0,3,0,No,No
621,33,8,115,4,2.9,2,0,No,Yes
622,41,17,114,2,1.8,2,0,No,No
623,41,17,92,2,1.9,1,131,No,No
